id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
723007,MIN,Lichens,,PreservedSpecimen,acaececa-2934-466b-8af9-cd57bd511b76,836460,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,75436,1995-07-11,1995,7,11,192,,11/Jul/1995,,,"on rock",,,,,,,,,,,,,,"United States",Minnesota,Cook,,"Gully Above Caretaker'S House; Sugar Loaf Preserve",,0,,47.48722222,-90.98416667,,,"47°29'14""N, 90°59'03""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:acaececa-2934-466b-8af9-cd57bd511b76,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=723007
723015,MIN,Lichens,,PreservedSpecimen,16b548f6-ebc0-4ac0-949b-099044bb12a7,836468,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia soredica",278918,"(Nyl.) Hale",Flavopunctelia,soredica,,,,,,,,,,"Wetmore, C.",,75428,1995-07-11,1995,7,11,192,,11/Jul/1995,,,"on mountain ash",,,,,,,,,,,,,,"United States",Minnesota,Cook,,"Along Stream At W End; Sugar Loaf Preserve",,0,,47.48638889,-90.98666667,,,"47°29'11""N, 90°59'12""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:16b548f6-ebc0-4ac0-949b-099044bb12a7,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=723015
723127,MIN,Lichens,,PreservedSpecimen,c81237be-0015-427f-8489-11eaee7a4170,836580,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,75304,1995-07-11,1995,7,11,192,,11/Jul/1995,,,"on thuja",,,,,,,,,,,,,,"United States",Minnesota,Cook,,"End of Rocky Point; Sugar Loaf Preserve",,0,,47.48666667,-90.97972222,,,"47°29'12""N, 90°58'47""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:c81237be-0015-427f-8489-11eaee7a4170,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=723127
723144,MIN,Lichens,,PreservedSpecimen,0c6e86ba-e0a1-4974-9e7a-2a5b672cc486,836597,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,75283,1995-07-10,1995,7,10,191,,10/Jul/1995,,,"on white birch",,,,,,,,,,,,,,"United States",Minnesota,Cook,,"Opening On Hillside; Sugar Loaf Preserve",,0,,47.48777778,-90.985,,,"47°29'16""N, 90°59'06""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:0c6e86ba-e0a1-4974-9e7a-2a5b672cc486,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=723144
723180,MIN,Lichens,,PreservedSpecimen,b16519c8-db8e-4dd1-850a-3615fd94e83e,836633,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,75247,1995-07-10,1995,7,10,191,,10/Jul/1995,,,"on lilac",,,,,,,,,,,,,,"United States",Minnesota,Cook,,"Open Area E of Drive; Sugar Loaf Preserve",,0,,47.48722222,-90.98611111,,,"47°29'14""N, 90°59'10""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:b16519c8-db8e-4dd1-850a-3615fd94e83e,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=723180
727197,MIN,Lichens,,PreservedSpecimen,7dbda408-6f38-4679-ab13-1aeb879c2fae,846125,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,77211,1996-08-16,1996,8,16,229,,16/Aug/1996,,,"on black ash",,,,,,,,,,,,,,"United States",Minnesota,"Saint Louis",,"Sw End of Echo Lake; Superior National Forest",,0,,48.17194444,-92.50527778,,,"48°10'19""N, 92°30'19""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:7dbda408-6f38-4679-ab13-1aeb879c2fae,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=727197
727224,MIN,Lichens,,PreservedSpecimen,a25f6f7b-5884-4f8b-bb92-a778abb0e1c6,846152,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,77166,1996-08-16,1996,8,16,229,,16/Aug/1996,,,,,,,,,,,,,,,,,"United States",Minnesota,"Saint Louis",,"Echo Trail And Usfs 200; Superior National Forest",,0,,48.13861111,-92.3575,,,"48°08'19""N, 92°21'27""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:a25f6f7b-5884-4f8b-bb92-a778abb0e1c6,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=727224
727296,MIN,Lichens,,PreservedSpecimen,39680aa4-7e8b-4ba5-b72d-6217cb0c9031,846224,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavopunctelia flaventior",278914,"(Stirt.) Hale",Flavopunctelia,flaventior,,,,,,,,,,"Wetmore, C.",,77070,1996-08-15,1996,8,15,228,,15/Aug/1996,,,"on red maple",,,,,,,,,,,,,,"United States",Minnesota,"Saint Louis",,"S of Echo Trail On Usfs 464; Superior National Forest",,0,,48.11166667,-92.15138889,,,"48°06'42""N, 92°09'05""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:39680aa4-7e8b-4ba5-b72d-6217cb0c9031,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=727296
727300,MIN,Lichens,,PreservedSpecimen,a39a8194-9135-41f9-8394-ff9f4b8e73dc,846228,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,77066,1996-08-15,1996,8,15,228,,15/Aug/1996,,,,,,,,,,,,,,,,,"United States",Minnesota,"Saint Louis",,"Echo Trail At Ed Shave Lake; Superior National Forest",,0,,48.06888889,-91.94638889,,,"48°04'08""N, 91°56'47""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:a39a8194-9135-41f9-8394-ff9f4b8e73dc,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=727300
727351,MIN,Lichens,,PreservedSpecimen,dbe48e07-3b94-4b30-b3f8-147e30c478d3,846279,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,"Flavoparmelia caperata",278876,"(L.) Hale",Flavoparmelia,caperata,,,,,,,,,,"Wetmore, C.",,76982,1996-08-14,1996,8,14,227,,14/Aug/1996,,,"on white birch",,,,,,,,,,,,,,"United States",Minnesota,Lake,,"Sw of Isabella Station; Superior National Forest",,0,,47.62027778,-91.41722222,,,"47°37'13""N, 91°25'02""W",,,,,,,,,,,,,,,"2016-06-02 12:52:01",,11,urn:uuid:dbe48e07-3b94-4b30-b3f8-147e30c478d3,https://bellatlas.umn.edu:443/collections/individual/index.php?occid=727351
