"","X.1","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"119",119,"Flavoparmelia caperata",NA,"","","","",917363,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","98863","8/26/2009",2009,8,26,238,"26-Aug-09","","United States","Minnesota","Cook","Se Facing Cliffs At South Fowl Lake",0,48.04138889,-90.01472222,"48°02'29""N, 90°00'53""W","6/2/2016 12:52",11,"urn:uuid:318445ff-1540-4b60-8a02-705ebfcc7c71","http://bellatlas.umn.edu/collections/individual/index.php?occid=765966","917363.2009","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"121",121,"Flavoparmelia caperata",NA,"","","","",933970,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","100550","7/13/2012",2012,7,13,195,"13-Jul-12","on log","United States","Minnesota","Cook","Mt Rose, N Side of; Grand Portage National Monument",0,47.96277778,-89.68861111,"47°57'46""N, 89°41'19""W","6/2/2016 12:52",11,"urn:uuid:d1294a91-81e4-452e-8980-df5b4e4d671e","http://bellatlas.umn.edu/collections/individual/index.php?occid=770134","933970.2012","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"122",122,"Flavoparmelia caperata",644260,"MIN","Lichens","PreservedSpecimen","urn:uuid:e13be6d3-7a9a-4ca5-9e60-c30eb9528667",691735,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Tucker, S.","s.n.","6/17/1955",1955,6,17,168,"17-Jun-55","","United States","Minnesota","Clearwater","Biological Station; Itasca State Park",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:20731112-42bc-42e8-beae-a51ab9733728","http://bellatlas.umn.edu/collections/individual/index.php?occid=660710","691735.1955","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"124",124,"Flavoparmelia caperata",NA,"","","","",933105,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","100411","8/18/2010",2010,8,18,230,"18-Aug-10","on balsam fir","United States","Minnesota","Cook","Pigeon River, Ne of Grand Portage",0,47.99333333,-89.57277778,"47°59'36""N, 89°34'22""W","6/2/2016 12:52",11,"urn:uuid:98e46500-7488-4c43-a6bf-36d8cdc4f09e","http://bellatlas.umn.edu/collections/individual/index.php?occid=769856","933105.2010","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"125",125,"Flavoparmelia caperata",676083,"MIN","Lichens","PreservedSpecimen","urn:uuid:2213d218-a6dd-4293-bc35-266dda193889",434360,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Cotter, S.","1509","10/7/1950",1950,10,7,280,"7-Oct-50","on tamarack","United States","Minnesota","Anoka","Cedar Creek Bog; Cedar Creek Ecosystem Science Reserve",0,NA,NA,"","6/2/2016 12:52",11,"urn:uuid:c6db391c-8938-4aa8-92b1-340d265606ef","http://bellatlas.umn.edu/collections/individual/index.php?occid=632827","434360.1950","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"126",126,"Flavoparmelia caperata",696075,"MIN","Lichens","PreservedSpecimen","urn:uuid:381dced7-a23e-4881-ab87-81ba04f44e54",720619,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","41718","8/5/1980",1980,8,5,218,"5-Aug-80","on bur oak","United States","Minnesota","Kittson","Lake Bronson, 3 Mi Se",0,48.70888889,-96.60666667,"48°42'32""N, 96°36'24""W","6/2/2016 12:52",11,"urn:uuid:86b96099-3c65-4e87-aa59-86c926387e8d","http://bellatlas.umn.edu/collections/individual/index.php?occid=673803","720619.1980","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"127",127,"Flavoparmelia caperata",761697,"MIN","Lichens","PreservedSpecimen","urn:uuid:9fd9265a-1798-4060-88ec-4987af3e5ab0",653732,"Fungi","Ascomycota","(L.) Hale","Flavoparmelia","caperata","Wetmore, C.","21846","8/24/1973",1973,8,24,236,"24-Aug-73","on rock","United States","Minnesota","Saint Louis","Fenske Lake, 4 Mi N; Superior National Forest",0,48.05277778,-91.92527778,"48°03'10""N, 91°55'31""W","6/2/2016 12:52",11,"urn:uuid:183e8874-013c-4912-9a68-c00e29eb317d","http://bellatlas.umn.edu/collections/individual/index.php?occid=643853","653732.1973","","good","","","","Parmeliaceae","Lecanorales","Lecanoromycetes","foliose","chlorococcoid"
"195",195,"Loxospora elatina",NA,"","","","",715028,"","","","","","Wetmore, C.","32464","",1978,NA,NA,NA,"","on thuja","","","","",NA,NA,NA,"","",NA,"","","715028.1978","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"196",196,"Loxospora elatina",NA,"","","","",721720,"","","","","","Wetmore, C.","41756","",1980,NA,NA,NA,"","on thuja","","","","",NA,NA,NA,"","",NA,"","","721720.1980","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"197",197,"Loxospora elatina",NA,"","","","",808249,"","","","","","Wetmore, C.","67358","",1990,NA,NA,NA,"","on basswood","","","","",NA,NA,NA,"","",NA,"","","808249.1990","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"198",198,"Loxospora elatina",NA,"","","","",835895,"","","","","","Wetmore, C.","74768","",1994,NA,NA,NA,"","on quaking aspen","","","","",NA,NA,NA,"","",NA,"","","835895.1994","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
"199",199,"Loxospora elatina",NA,"","","","",835292,"","","","","","Wetmore, C.","74303","",1994,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","835292.1994","","","","","","Sarrameanaceae","Lecanorales","Lecanoromycetes","crustose","chlorococcoid"
