id,institutionCode,collectionCode,basisOfRecord,occurrenceID,  ,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File Name,Notes,Quality,Chemistry,Chemistry Author,Source,Chemistry Methods
,,,,,907912,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia soredica,(Nyl.) Hale,Flavopunctelia,soredica,"Wetmore, C.",97244,7/9/2008,2008,7,9,191,,9-Jul-08,on silver maple,United States,Minnesota,Anoka,Nw Anoka; Mississippi River Regional Park,0,45.20916667,-93.41861111,"45°12'33""N, 93°25'07""W",6/2/2016 12:52,11,urn:uuid:d9dc9e56-786e-4952-b9fa-956bc31f3201,http://bellatlas.umn.edu/collections/individual/index.php?occid=763512,907912.2008,,good,,,,
,,,,,907472,,,,,,Candelaria concolor,,,,"Wetmore, C.",96920,,2008,,,,,,on cottonwood,,,,,,,,,,,,,907472.2008,,good,,,,
,,,,,907411,,,,,,Caloplaca flavovirescens,,,,"Wetmore, C.",96982,,2008,,,,,,,,,,,,,,,,,,,907411.2008,,,,,,
,,,,,907409,,,,,,Verrucaria fuscella,,,,"Wetmore, C.",96984,,2008,,,,,,,,,,,,,,,,,,,907409.2008,,,,,,
,,,,,907408,,,,,,Graphis scripta,,,,"Wetmore, C.",96985,,2008,,,,,,on basswood,,,,,,,,,,,,,907408.2008,,,,,,
,,,,,907402,,,,,,Caloplaca flavovirescens,,,,"Wetmore, C.",96991,,2008,,,,,,,,,,,,,,,,,,,907402.2008,,,,,,
,,,,,907397,,,,,,Graphis scripta,,,,"Wetmore, C.",96996,,2008,,,,,,on oak,,,,,,,,,,,,,907397.2008,,,,,,
,,,,,907368,,,,,,Candelaria concolor,,,,"Wetmore, C.",97025,,2008,,,,,,on cottonwood,,,,,,,,,,,,,907368.2008,,good,,,,
,,,,,903226,,,,,,Chrysothrix candelaris,,,,"Worthington, R.",31190,,2002,,,,,,on bark of white fir,,,,,,,,,,,,,903226.2002,,,,,,
,,,,,903218,,,,,,Baeomyces rufus,,,,"Olszewski, S.",4933J,,1999,,,,,,on shaded rocks,,,,,,,,,,,,,,,,,,,
,,,,,901847,,,,,,Caloplaca flavovirescens,,,,"Wetmore, C.",77238,,1997,,,,,,,,,,,,,,,,,,,901847.1997,,,,,,
,,,,,901843,,,,,,Caloplaca flavovirescens,,,,"Wetmore, C.",80507,,1998,,,,,,,,,,,,,,,,,,,901843.1998,,,,,,
,,,,,901650,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",96815,8/7/2007,2007,8,7,219,,7-Aug-07,,United States,Minnesota,Cook,Smith Island In Poplar Lake; Superior National Forest,0,48.05138889,-90.51972222,"48°03'05""N, 90°31'11""W",6/2/2016 12:52,11,urn:uuid:9fd9265a-1798-4060-88ec-4987af3e5ab0,http://bellatlas.umn.edu/collections/individual/index.php?occid=761697,901650.2007,some moss amongst lichen,good,,,,
,,,,,901606,,,,,,Loxospora elatina,,,,"Wetmore, C.",96861,,2007,,,,,,on white birch,,,,,,,,,,,,,,,,,,,
,,,,,901582,,,,,,Dimelaena oreina,,,,"Wetmore, C.",95463,,2007,,,,,,,,,,,,,,,,,,,901582.2007,,,,,,
,,,,,900340,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Hansen, J.",s.n.,5/18/1909,1909,5,18,138,,18-May-09,on log,United States,Minnesota,Stearns,Collegeville,0,,,,6/2/2016 12:52,11,urn:uuid:5ab0eb15-5393-4ea4-8171-9ae7b5fff03e,http://bellatlas.umn.edu/collections/individual/index.php?occid=760529,900340.1909,dark areas on lichen,okay,,,,
