id,institutionCode,collectionCode,basisOfRecord,occurrenceID,  ,kingdom,phylum,class,order,family,scientificName,scientificNameAuthorship,genus,specificEpithet,recordedBy,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,substrate,country,stateProvince,county,locality,localitySecurity,decimalLatitude,decimalLongitude,verbatimCoordinates,modified,collId,recordId,references,File Name,Notes,Quality,Chemistry,Chemistry Author,Source,Chemistry Methods
696075,MIN,Lichens,PreservedSpecimen,urn:uuid:381dced7-a23e-4881-ab87-81ba04f44e54,720619,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",41718,8/5/1980,1980,8,5,218,,5-Aug-80,on bur oak,United States,Minnesota,Kittson,"Lake Bronson, 3 Mi Se",0,48.70888889,-96.60666667,"48°42'32""N, 96°36'24""W",6/2/2016 12:52,11,urn:uuid:86b96099-3c65-4e87-aa59-86c926387e8d,http://bellatlas.umn.edu/collections/individual/index.php?occid=673803,720619.1980,,good,,,,
,,,,,720568,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",41815,,1980,,,,,,,,,,,,,,,,,,,720568.1980,,good,,,,
696038,MIN,Lichens,PreservedSpecimen,urn:uuid:deb63e55-2995-49e4-9c29-5f3d388c0062,719998,,,,,,Xanthoparmelia darrowii,,Parmelia,darrowii,"Nash, T.",15735,6/30/1979,1979,6,30,181,,30-Jun-79,on quercus hypoleucoides,United States,Arizona,Cochise,"Chiricahua Mountains, Pole Bridge Canyon",0,,,,6/2/2016 12:48,11,urn:uuid:90779bf7-eb15-49c9-ae30-7f0c78e143e7,http://bellatlas.umn.edu/collections/individual/index.php?occid=673427,719998.1979,,good,"usnic, lecanoric, and 5-chlorolecanoric acids ",Egan. R,On archive,
,,,,,718657,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",40096,,1979,,,,,,on white pine,,,,,,,,,,,,,718657.1979,,,,,,
,,,,,718647,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",40172,,1979,,,,,,on balsam fir,,,,,,,,,,,,,718647.1979,,,,,,
,,,,,718602,,,,,,Pertusaria ophthalmiza,,,,"Wetmore, C.",40387,,1979,,,,,,on dead red maple,,,,,,,,,,,,,718602.1979,,,,,,
,,,,,718575,,,,,,Ionaspis lacustris,,,,"Brodo, I.",7133,,1965,,,,,,on rocks,,,,,,,,,,,,,718575.1965,,,,,,
,,,,,715028,,,,,,Loxospora elatina,,,,"Wetmore, C.",32464,,1978,,,,,,on thuja,,,,,,,,,,,,,715028.1978,,,,,,
,,,,,714872,,,,,,Dimelaena oreina,,,,"Wetmore, C.",35396,,1978,,,,,,,,,,,,,,,,,,,714872.1978,,,,,,
,,,,,714659,,,,,,Loxospora elatina,,,,"Wetmore, C.",39697,,1979,,,,,,on thuja,,,,,,,,,,,,,714659.1979,,,,,,
,,,,,710560,,,,,,Caloplaca flavovirescens,,,,"Brako, L.",1593,,1979,,,,,,on rock,,,,,,,,,,,,,710560.1979,,,,,,
,,,,,710491,,,,,,Caloplaca flavovirescens,,,,"Brako, L.",1683,,1979,,,,,,on rock of west facing slope,,,,,,,,,,,,,710491.1979,,,,,,
,,,,,707765,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",32150A,,1978,,,,,,,,,,,,,,,,,,,707765.1978,,,,,,
,,,,,707588,,,,,,Acarospora americana,,,,"Wetmore, C.",34130,,1978,,,,,,,,,,,,,,,,,,,707588.1978,,good,,,,
,,,,,707202,,,,,,Rhizocarpon grande,,,,"Wetmore, C.",38102,,1979,,,,,,,,,,,,,,,,,,,707202.1979,,,,,,
,,,,,707160,,,,,,Ephebe ocellata,,,,"Wetmore, C.",38436,,1979,,,,,,,,,,,,,,,,,,,707160.1979,,great,,,,
,,,,,706600,,,,,,Candelaria concolor,,,,"Wetmore, C.",37364,,1979,,,,,,on quaking aspen,,,,,,,,,,,,,706600.1979,,good,,,,
,,,,,706424,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",37643,,1979,,,,,,,,,,,,,,,,,,,706424.1979,,good,,,,
,,,,,705182,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",39669,,1979,,,,,,,,,,,,,,,,,,,705182.1979,,good,,,,
,,,,,704718,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",40429,,1979,,,,,,,,,,,,,,,,,,,704718.1979,,good,,,,
,,,,,692876,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",31164,,1978,,,,,,,,,,,,,,,,,,,692876.1978,,good,,,,
,,,,,691863,,,,,,Graphis scripta,,,,"Hale, M.",22815,,1963,,,,,,on spruce,,,,,,,,,,,,,691863.1963,,,,,,
645987,MIN,Lichens,PreservedSpecimen,urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97,691844,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22290,1963-07-00,1963,7,0,,,00/Jul/1963,,United States,Minnesota,Clearwater,North Boundary Road; Itasca State Park,0,,,,6/2/2016 12:52,11,urn:uuid:b4148dd6-fb6d-4ad1-9365-1a08da4d010a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660818,691844.1963,,good,,,,
645310,MIN,Lichens,PreservedSpecimen,urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933,691785,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Hale, M.",22554,1963-07-00,1963,7,0,,,00/Jul/1963,on exposed birch trees,United States,Minnesota,Clearwater,Biological Station; Itasca State Park,0,,,,6/2/2016 12:52,11,urn:uuid:0324c3b8-b14a-420d-9fc0-3ff7108a049a,http://bellatlas.umn.edu/collections/individual/index.php?occid=660759,691785.1963,,good,,,,
,,,,,691746,,,,,,Graphis scripta,,,,"Tucker, S.",s.n.,,1955,,,,,,on dead balsam,,,,,,,,,,,,,691863.1963,,,,,,
644260,MIN,Lichens,PreservedSpecimen,urn:uuid:e13be6d3-7a9a-4ca5-9e60-c30eb9528667,691735,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Tucker, S.",s.n.,6/17/1955,1955,6,17,168,,17-Jun-55,,United States,Minnesota,Clearwater,Biological Station; Itasca State Park,0,,,,6/2/2016 12:52,11,urn:uuid:20731112-42bc-42e8-beae-a51ab9733728,http://bellatlas.umn.edu/collections/individual/index.php?occid=660710,691735.1955,,good,,,,
,,,,,688372,,,,,,Lecidea tessellata,,,,"Wetmore, C.",20774,,1972,,,,,,,,,,,,,,,,,,,688372.1972,,,,,,
,,,,,688129,,,,,,Graphis scripta,,,,"Wetmore, C.",25893,,1976,,,,,,on sugar maple,,,,,,,,,,,,,688129.1976,,,,,,
,,,,,682900,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",14372,,1966,,,,,,on douglasfir,,,,,,,,,,,,,682900.1966,,,,,,
,,,,,682824,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",26773,,1977,,,,,,,,,,,,,,,,,,,682824.1977,,good,,,,
,,,,,677095,,,,,,Verrucaria fuscella,,,,"Weber, W.",58023,,1973,,,,,,,,,,,,,,,,,,,677095.1973,,,,,,
,,,,,675817,,,,,,Baeomyces rufus,,,,"Wetmore, C.",26354,,1976,,,,,,,,,,,,,,,,,,,675817.1976,,,,,,
,,,,,675773,,,,,,Acarospora americana,,,,"Wetmore, C.",26247,,1976,,,,,,,,,,,,,,,,,,,675773.1976,,,,,,
,,,,,674007,,,,,,Candelaria concolor,,,,"Wetmore, C.",24025,,1974,,,,,,on oak,,,,,,,,,,,,,674007.1974,,good,,,,
,,,,,673901,,,,,,Strigula submuriformis,,,,"Wetmore, C.",24161,,1975,,,,,,on oak,,,,,,,,,,,,,673901.1975,,,,,,
,,,,,673814,,,,,,Strigula submuriformis,,,,"Wetmore, C.",22093,,1974,,,,,,on basswood,,,,,,,,,,,,,673814.1974,,,,,,
,,,,,664020,,,,,,Verrucaria fuscella,,,,"Degelius, G.",s.n.,,1943,,,,,,,,,,,,,,,,,,,664020.1943,,,,,,
770134,MIN,Lichens,PreservedSpecimen,urn:uuid:d1294a91-81e4-452e-8980-df5b4e4d671e,659114,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavopunctelia darrowii,(J.W. Thomson) Hale,Flavopunctelia,darrowii,"Darrow, R.",4093,3/30/1947,1947,3,30,89,,30-Mar-47,on acer grandidentatum trunk,United States,Arizona,Pima,"Santa Catalina Mountains, Mt. Lemmon",0,,,,6/2/2016 12:52,11,urn:uuid:606c92e8-1e81-4583-9a6b-c867337a4a97,http://bellatlas.umn.edu/collections/individual/index.php?occid=645987,659114.1947,,good,usnic (minor) and lecanoric acid (major),Egan. R,On archive,
769856,MIN,Lichens,PreservedSpecimen,urn:uuid:98e46500-7488-4c43-a6bf-36d8cdc4f09e,656634,,,,,,Xanthoparmelia darrowii,,Parmelia,darrowii,"Nash, T.",8551,4/7/1974,1974,4,7,97,,7-Apr-74,on prunus,United States,Arizona,Santa Cruz,"Santa Rita Mountains, Madera Canyon",0,31.71666667,-110.8666667,"31°43'N, 110°52'W",6/2/2016 12:48,11,urn:uuid:e8e3fbb3-af68-42a2-b42a-e280189a2933,http://bellatlas.umn.edu/collections/individual/index.php?occid=645310,656634.1974,,good,"usnic, lecanoric, and 5-chlorolecanoric acids ",Egan. R,On archive,
,,,,,654463,,,,,,Acarospora americana,,,,"Wetmore, C.",23593,,1974,,,,,,,,,,,,,,,,,,,65463.1974,,good,,,,
,,,,,654408,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",22769,,1974,,,,,,,,,,,,,,,,,,,654408.1974,,good,,,,
765966,MIN,Lichens,PreservedSpecimen,urn:uuid:318445ff-1540-4b60-8a02-705ebfcc7c71,654245,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia baltimorensis,(Gyeln. & Fóriss) Hale,Flavoparmelia,baltimorensis,"Wetmore, C.",23181,8/3/1974,1974,8,3,215,,3-Aug-74,on oak,United States,Minnesota,Becker,Big Basswood Lake; White Earth State Forest,0,47.07666667,-95.35,"47°04'36""N, 95°21'00""W",6/2/2016 12:52,11,urn:uuid:e13be6d3-7a9a-4ca5-9e60-c30eb9528667,http://bellatlas.umn.edu/collections/individual/index.php?occid=644260,654245.1974,,good,,,,
761697,MIN,Lichens,PreservedSpecimen,urn:uuid:9fd9265a-1798-4060-88ec-4987af3e5ab0,653732,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",21846,8/24/1973,1973,8,24,236,,24-Aug-73,on rock,United States,Minnesota,Saint Louis,"Fenske Lake, 4 Mi N; Superior National Forest",0,48.05277778,-91.92527778,"48°03'10""N, 91°55'31""W",6/2/2016 12:52,11,urn:uuid:183e8874-013c-4912-9a68-c00e29eb317d,http://bellatlas.umn.edu/collections/individual/index.php?occid=643853,653732.1973,,good,,,,
,,,,,653582,,,,,,Strigula submuriformis,,,,"Wetmore, C.",s.n.,,1967,,,,,,,,,,,,,,,,,,,653582.1967,,,,,,
,,,,,653339,,,,,,Peltigera elisabethae,,,,"Wetmore, C.",21701,,1973,,,,,,,,,,,,,,,,,,,653339.1973,,good,,,,
760529,MIN,Lichens,PreservedSpecimen,urn:uuid:5ab0eb15-5393-4ea4-8171-9ae7b5fff03e,653242,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",20584,8/3/1972,1972,8,3,216,,3-Aug-72,on spruce,United States,Minnesota,Koochiching,Between Margi & Big Falls,0,,,,6/2/2016 12:52,11,urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230,http://bellatlas.umn.edu/collections/individual/index.php?occid=643387,653242.1972,on curved bark,BAD,,,,
760528,MIN,Lichens,PreservedSpecimen,urn:uuid:53e6bb66-8c0f-4e00-baa2-ebad5071d196,653152,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",19883,6/6/1971,1971,6,6,157,,6-Jun-71,on bur oak,United States,Minnesota,Washington,S of Afton Near Ski Area,0,,,,6/2/2016 12:52,11,urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4,http://bellatlas.umn.edu/collections/individual/index.php?occid=643297,653152.1971,all samples on bark,good,,,,
758064,MIN,Lichens,PreservedSpecimen,urn:uuid:440ad26e-c5ce-45ef-87c7-fafec0de1fed,653128,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia baltimorensis,(Gyeln. & Fóriss) Hale,Flavoparmelia,baltimorensis,"Wetmore, C.",19822,5/16/1971,1971,5,16,136,,16-May-71,on fallen oak branch,United States,Minnesota,Washington,S of Afton Near Saint Croix River; Saint Croix National Scenic Riverway,0,,,,6/2/2016 12:52,11,urn:uuid:1dcc86b1-2dd3-4690-9d7a-0337267ce3c1,http://bellatlas.umn.edu/collections/individual/index.php?occid=643273,653128.1971,,good,,,,
747557,MIN,Lichens,PreservedSpecimen,urn:uuid:ab99e9c0-a297-472d-b15f-6767f98fc0bb,653089,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Wetmore, C.",18575,7/21/1969,1969,7,21,202,,21-Jul-69,,United States,Minnesota,Cook,"Wampus Lake, 25 Mi N Grand Marais; Superior National Forest",0,48.05611111,-90.40833333,"48°03'22""N, 90°24'30""W",6/2/2016 12:52,11,urn:uuid:329e5018-291b-4b40-acd5-a695fa65f2e3,http://bellatlas.umn.edu/collections/individual/index.php?occid=643235,653089.1969,,good,,,,
,,,,,634613,,,,,,Candelaria concolor,,,,"Knutson, R.",s.n.,,1962,,,,,,on elm,,,,,,,,,,,,,634613.1962,,good,,,,
,,,,,634251,,,,,,Candelaria concolor,,,,"Wetmore, C.",19752,,1970,,,,,,on quaking aspen,,,,,,,,,,,,,634251.1970,,good,,,,
,,,,,634027,,,,,,Caloplaca flavovirescens,,,,"Wetmore, C.",18592,,1969,,,,,,,,,,,,,,,,,,,634027.1969,,,,,,
,,,,,632026,,,,,,Umbilicaria muehlenbergii,,,,"Wetmore, C.",18585,,1969,,,,,,,,,,,,,,,,,,,632026.1969,,good,,,,
,,,,,629547,,,,,,Verrucaria fuscella,,,,"Wetmore, C.",11746,,1961,,,,,,,,,,,,,,,,,,,629547.1961,,,,,,
,,,,,625167,,,,,,Chrysothrix candelaris,,,,"Wetmore, C.",1442,,1958,,,,,,,,,,,,,,,,,,,625167.1958,,,,,,
,,,,,624348,,,,,,Baeomyces rufus,,,,"Wetmore, C.",13454,,1965,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,582073,,,,,,Trypethelium virens,,,,"Dutton, D.",2128,,1924,,,,,,on beech,,,,,,,,,,,,,582073.1924,,,,,,
,,,,,494709,,,,,,Ionaspis lacustris,,,,"Marr, J.",550,,1939,,,,,,,,,,,,,,,,,,,494709.1939,,,,,,
,,,,,494490,,,,,,Umbilicaria muehlenbergii,,,,"Thomson, J.",4046,,1951,,,,,,,,,,,,,,,,,,,494490.1951,,good,,,,
,,,,,437774,,,,,,Umbilicaria muehlenbergii,,,,"Thomson, J.",2694,,1948,,,,,,on large glacial boulder,,,,,,,,,,,,,437774.1948,,good,,,,
676083,MIN,Lichens,PreservedSpecimen,urn:uuid:2213d218-a6dd-4293-bc35-266dda193889,434360,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Cotter, S.",1509,10/7/1950,1950,10,7,280,,7-Oct-50,on tamarack,United States,Minnesota,Anoka,Cedar Creek Bog; Cedar Creek Ecosystem Science Reserve,0,,,,6/2/2016 12:52,11,urn:uuid:c6db391c-8938-4aa8-92b1-340d265606ef,http://bellatlas.umn.edu/collections/individual/index.php?occid=632827,434360.1950,,good,,,,
643853,MIN,Lichens,PreservedSpecimen,urn:uuid:183e8874-013c-4912-9a68-c00e29eb317d,434359,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Cotter, S.",184,5/30/1948,1948,5,30,151,,30-May-48,,United States,Minnesota,Cook,"Tomteboda, Grand Marais",0,,,,6/2/2016 12:52,11,urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f,http://bellatlas.umn.edu/collections/individual/index.php?occid=632826,434359.1948,low sample selection,not great,,,,
,,,,,24851,,,,,,Dimelaena oreina,,,,"Fink, B.",201,,1899,,,,,,,,,,,,,,,,,,,24851.1899,,,,,,
,,,,,24850,,,,,,Dimelaena oreina,,,,"Fink, B.",367,,1899,,,,,,,,,,,,,,,,,,,24850.1899,,,,,,
,,,,,24849,,,,,,Dimelaena oreina,,,,"Fink, B.",s.n.,,1901,,,,,,,,,,,,,,,,,,,24849.1901,,,,,,
,,,,,24671,,,,,,Rhizocarpon grande,,,,"Fink, B.",989,,1897,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,24668,,,,,,Rhizocarpon grande,,,,"Fink, B.",5,,1897,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,24638,,,,,,Rhizocarpon grande,,,,"Fink, B.",915,,1901,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,24297,,,,,,Candelaria concolor,,,,"Fink, B.",1474,,1901,,,,,,on trees,,,,,,,,,,,,,24297.1901,,good,,,,
,,,,,23898,,,,,,Caloplaca flavovirescens,,,,"Fink, B.",1843,,1901,,,,,,on rocks,,,,,,,,,,,,,23898.1901,,,,,,
,,,,,23897,,,,,,Caloplaca flavovirescens,,,,"Fink, B.",1232,,1901,,,,,,on rocks,,,,,,,,,,,,,23897.1901,,,,,,
,,,,,23895,,,,,,Caloplaca flavovirescens,,,,"Fink, B.",643,,1900,,,,,,on granitics,,,,,,,,,,,,,23895.1900,,,,,,
,,,,,23889,,,,,,Caloplaca flavovirescens,,,,"Fink, B.",298,,1897,,,,,,on rocks,,,,,,,,,,,,,23889.1897,,,,,,
643387,MIN,Lichens,PreservedSpecimen,urn:uuid:39f418ce-273a-4ab1-a1b7-766ac25cf230,22665,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",77,1896-07-03,1896,7,3,185,,03/Jul/1896,,United States,Minnesota,Hennepin,Neapolis,0,,,,6/2/2016 12:52,11,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,http://bellatlas.umn.edu/collections/individual/index.php?occid=630090,22665.1896,"small, dirt amongst samples",good,,,,
643297,MIN,Lichens,PreservedSpecimen,urn:uuid:4adbfb89-2d87-47a7-8025-de586eecf5c4,22603,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1059,7/31/1901,1901,7,31,212,,31-Jul-01,on rocks,United States,Minnesota,Koochiching,Koochiching,0,,,,6/2/2016 12:52,11,urn:uuid:9485dbb4-d7a3-45a9-b62a-9487bde71bef,http://bellatlas.umn.edu/collections/individual/index.php?occid=630037,22603.1901,,good,,,,
632827,MIN,Lichens,PreservedSpecimen,urn:uuid:c6db391c-8938-4aa8-92b1-340d265606ef,22599,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",769,7/20/1901,1901,7,20,201,,20-Jul-01,"on rocks, canada",Canada,Ontario,Rainy River,Emo,0,,,,6/2/2016 12:52,11,urn:uuid:9dc9e54d-b030-40b7-8ff2-9967b9b5c670,http://bellatlas.umn.edu/collections/individual/index.php?occid=630033,22599.1901,,good,,,,
632826,MIN,Lichens,PreservedSpecimen,urn:uuid:507eeedd-c912-408c-96d9-19c7fb4cbe4f,22598,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",524,7/11/1901,1901,7,11,192,,11-Jul-01,on trees,United States,Minnesota,Lake of the Woods,Oak Island,0,,,,6/2/2016 12:52,11,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,http://bellatlas.umn.edu/collections/individual/index.php?occid=630032,22598.1901,,good,,,,
630090,MIN,Lichens,PreservedSpecimen,urn:uuid:9ef13f94-d1ed-4d62-9d89-4ce287876d7e,22597,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",1510,8/16/1901,1901,8,16,228,,16-Aug-01,on cedars,United States,Minnesota,Saint Louis,Harding,0,,,,6/2/2016 12:52,11,urn:uuid:9861466a-71df-4b7f-99af-d0902028bb4a,http://bellatlas.umn.edu/collections/individual/index.php?occid=630031,22597.1901,,good,,,,
630032,MIN,Lichens,PreservedSpecimen,urn:uuid:89b712f4-d405-4e5e-9d8b-53b52e3ea6a8,22571,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia caperata,(L.) Hale,Flavoparmelia,caperata,"Fink, B.",254,1897-06-30,1897,6,30,181,,30/Jun/1897,on earth,United States,Minnesota,Cook,Gunflint Trail; Superior National Forest,0,,,,6/2/2016 12:52,11,urn:uuid:2eeb9bc3-5b8d-4a00-a0b7-4c8a99a4c621,http://bellatlas.umn.edu/collections/individual/index.php?occid=630008,22571.1897,,good,,,,
630037,MIN,Lichens,PreservedSpecimen,urn:uuid:9485dbb4-d7a3-45a9-b62a-9487bde71bef,22571,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Flavoparmelia baltimorensis,(Gyeln. & Fóriss) Hale,Flavoparmelia,baltimorensis,"Frost, W.",115,1892-06-00,1892,6,0,,,00/Jun/1892,,United States,Minnesota,Meeker,Litchfield,0,,,,6/2/2016 12:52,11,urn:uuid:9344f7c4-d034-4ee9-aa85-5057dece5338,http://bellatlas.umn.edu/collections/individual/index.php?occid=630015,22579.1892,,good,,,,
,,,,,21569,,,,,,Ionaspis lacustris,,,,"Willey, H.",113,,,,,,,,,,,,,,,,,,,,,21569.0000,no date listed on the archive,,,,,
,,,,,21568,,,,,,Ionaspis lacustris,,,,"Fink, B.",1528,,1901,,,,,,on rocks by water,,,,,,,,,,,,,21568.1901,,,,,,
,,,,,21567,,,,,,Ionaspis lacustris,,,,"Fink, B.",1518,,1901,,,,,,on rocks by water,,,,,,,,,,,,,21567.1901,,,,,,
,,,,,21483,,,,,,Acarospora americana,,,,"Fink, B.",80,,1900,,,,,,on exposed granitic rocks,,,,,,,,,,,,,21483.1900,,good,,,,
,,,,,21435,,,,,,Loxospora elatina,,,,"Fink, B.",638,,1897,,,,,,on trees,,,,,,,,,,,,,21435.1897,,,,,,
,,,,,21286,,,,,,Acarospora americana,,,,"Fink, B.",251,,1900,,,,,,on rocks,,,,,,,,,,,,,21286.1900,,good,,,,
,,,,,21125,,,,,,Pertusaria ophthalmiza,,,,"Fink, B.",726,,1900,,,,,,on birch,,,,,,,,,,,,,21125.1900,,,,,,
,,,,,21002,,,,,,Pertusaria ophthalmiza,,,,"Fink, B.",410,,1897,,,,,,on trees,,,,,,,,,,,,,21002.1897,,,,,,
,,,,,20886,,,,,,Umbilicaria muehlenbergii,,,,"Fink, B.",767,,1901,,,,,,"on rocks, canada, det llano",,,,,,,,,,,,,20886.1901,,good,,,,
,,,,,20872,,,,,,Umbilicaria muehlenbergii,,,,"Fink, B.",537,,1897,,,,,,"on rocks, det llano",,,,,,,,,,,,,20872.1897,,good,,,,
,,,,,18895,,,,,,Baeomyces rufus,,,,"Fink, B.",1186,,1901,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,18894,,,,,,Baeomyces rufus,,,,"Fink, B.",817,,1901,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,18891,,,,,,Baeomyces rufus,,,,"Fink, B.",109,,1897,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,18698,,,,,,Lecidea tessellata,,,,"Fink, B.",652,,1897,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,18696,,,,,,Lecidea tessellata,,,,"Fink, B.",182,,1897,,,,,,on rocks,,,,,,,,,,,,,,,,,,,
,,,,,18694,,,,,,Lecidea tessellata,,,,"Fink, B.",s.n.,,1902,,,,,,"on rocks, hibbard ph. 5376",,,,,,,,,,,,,,,,,,,
,,,,,17665,,,,,,Peltigera elisabethae,,,,"Fink, B.",121,,1897,,,,,,,,,,,,,,,,,,,17665.1897,,,,,,
,,,,,17653,,,,,,Peltigera elisabethae,,,,"Fink, B.",373,,1901,,,,,,,,,,,,,,,,,,,17653.1901,,,,,,
,,,,,17646,,,,,,Peltigera elisabethae,,,,"Fink, B.",s.n.,,1902,,,,,,,,,,,,,,,,,,,17646.1902,,,,,,
,,,,,16487,,,,,,Ephebe ocellata,,,,"Fink, B.",745,,1897,,,,,,on rocks,,,,,,,,,,,,,16487.1897,,great,,,,
,,,,,15997,,,,,,Graphis scripta,,,,"Fink, B.",858,,1897,,,,,,on trees,,,,,,,,,,,,,15997.1897,,,,,,
,,,,,15992,,,,,,Graphis scripta,,,,"Fink, B.",s.n.,,1902,,,,,,"on trees, hibbard ph. 5400",,,,,,,,,,,,,15992.1902,possibly bad because all on curved bark,,,,,
,,,,,15989,,,,,,Graphis scripta,,,,"Arthur, J.",39,,1886,,,,,,on birch,,,,,,,,,,,,,15989.1886,,,,,,
,,,,,15239,,,,,,Strigula submuriformis,,,,"Fink, B.",32,,1899,,,,,,"on trees, det harris",,,,,,,,,,,,,15239.1899,"pieces too small, may have deleted scan",,,,,
,,,,,15236,,,,,,Strigula submuriformis,,,,"Fink, B.",s.n.,,1893,,,,,,,,,,,,,,,,,,,15236.1893,,,,,,
,,,,,14925,,,,,,Verrucaria fuscella,,,,"Fink, B.",297,,1900,,,,,,,,,,,,,,,,,,,14925.1900,,,,,,
,,,,,14923,,,,,,Verrucaria fuscella,,,,"Fink, B.",42,,1899,,,,,,calcareous rock,,,,,,,,,,,,,14293.1899,,,,,,
,,,,,14921,,,,,,Verrucaria fuscella,,,,"Fink, B.",184,,1896,,,,,,,,,,,,,,,,,,,14921.1896,,,,,,
,,,,,14920,,,,,,Verrucaria fuscella,,,,"Herre, A.",s.n.,,1910,,,,,,,,,,,,,,,,,,,14920.1910,,,,,,
