"","scientificName","id","institutionCode","collectionCode","basisOfRecord","occurrenceID","X","kingdom","phylum","scientificNameAuthorship","genus","specificEpithet","recordedBy","recordNumber","eventDate","year","month","day","startDayOfYear","verbatimEventDate","substrate","country","stateProvince","county","locality","localitySecurity","decimalLatitude","decimalLongitude","verbatimCoordinates","modified","collId","recordId","references","File.Name","Notes","Quality","Chemistry","Chemistry.Author","Source","Family","Order","Class","Morphology","Photobiont"
"36","Caloplaca flavovirescens",NA,"","","","",23897,"","","","","","Fink, B.","1232","",1901,NA,NA,NA,"","on rocks","","","","",NA,NA,NA,"","",NA,"","","23897.1901","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"37","Caloplaca flavovirescens",NA,"","","","",907402,"","","","","","Wetmore, C.","96991","",2008,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","907402.2008","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"38","Caloplaca flavovirescens",NA,"","","","",634027,"","","","","","Wetmore, C.","18592","",1969,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","634027.1969","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"39","Caloplaca flavovirescens",NA,"","","","",813488,"","","","","","Wetmore, C.","67902","",1991,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","813488.1991","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"40","Caloplaca flavovirescens",NA,"","","","",23895,"","","","","","Fink, B.","643","",1900,NA,NA,NA,"","on granitics","","","","",NA,NA,NA,"","",NA,"","","23895.1900","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"41","Caloplaca flavovirescens",NA,"","","","",901843,"","","","","","Wetmore, C.","80507","",1998,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","901843.1998","","","","","","Teloschistaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
"42","Candelaria concolor",NA,"","","","",761591,"","","","","","Schuster, J.","825","",1983,NA,NA,NA,"","on trunk of quaking aspen","","","","",NA,NA,NA,"","",NA,"","","761591.1983","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"43","Candelaria concolor",NA,"","","","",815563,"","","","","","Schuster, J.","2640","",1991,NA,NA,NA,"","on deciduous tree","","","","",NA,NA,NA,"","",NA,"","","815563.1991","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"44","Candelaria concolor",NA,"","","","",761846,"","","","","","Schuster, J.","492","",1983,NA,NA,NA,"","on dead quaking aspen","","","","",NA,NA,NA,"","",NA,"","","761846.1983","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"45","Candelaria concolor",NA,"","","","",24297,"","","","","","Fink, B.","1474","",1901,NA,NA,NA,"","on trees","","","","",NA,NA,NA,"","",NA,"","","24297.1901","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"46","Candelaria concolor",NA,"","","","",907472,"","","","","","Wetmore, C.","96920","",2008,NA,NA,NA,"","on cottonwood","","","","",NA,NA,NA,"","",NA,"","","907472.2008","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"47","Candelaria concolor",NA,"","","","",858554,"","","","","","Wheeler, G.","16317","",1997,NA,NA,NA,"","celtis occidentalis","","","","",NA,NA,NA,"","",NA,"","","858554.1997","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"48","Candelaria concolor",NA,"","","","",869562,"","","","","","Wheeler, G.","19905","",1999,NA,NA,NA,"","on fallen tree","","","","",NA,NA,NA,"","",NA,"","","869562.1999","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"49","Candelaria concolor",NA,"","","","",674007,"","","","","","Wetmore, C.","24025","",1974,NA,NA,NA,"","on oak","","","","",NA,NA,NA,"","",NA,"","","674007.1974","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"50","Candelaria concolor",NA,"","","","",827613,"","","","","","Shimek, B.","s.n.","",1902,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","827613.1902","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"51","Candelaria concolor",NA,"","","","",827668,"","","","","","Shimek, B.","s.n.","",1916,NA,NA,NA,"","on bur oak","","","","",NA,NA,NA,"","",NA,"","","827668.1916","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"52","Candelaria concolor",NA,"","","","",634613,"","","","","","Knutson, R.","s.n.","",1962,NA,NA,NA,"","on elm","","","","",NA,NA,NA,"","",NA,"","","634613.1962","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"53","Candelaria concolor",NA,"","","","",814980,"","","","","","Schuster, J.","2454","",1990,NA,NA,NA,"","on elm","","","","",NA,NA,NA,"","",NA,"","","814980.1990","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"54","Candelaria concolor",NA,"","","","",907368,"","","","","","Wetmore, C.","97025","",2008,NA,NA,NA,"","on cottonwood","","","","",NA,NA,NA,"","",NA,"","","907368.2008","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"55","Candelaria concolor",NA,"","","","",869518,"","","","","","Wheeler, G.","20007","",1999,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","869518.1999","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"56","Candelaria concolor",NA,"","","","",706600,"","","","","","Wetmore, C.","37364","",1979,NA,NA,NA,"","on quaking aspen","","","","",NA,NA,NA,"","",NA,"","","706600.1979","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"57","Candelaria concolor",NA,"","","","",815554,"","","","","","Schuster, J.","2672","",1991,NA,NA,NA,"","on dead branch","","","","",NA,NA,NA,"","",NA,"","","815554.1991","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"58","Candelaria concolor",NA,"","","","",634251,"","","","","","Wetmore, C.","19752","",1970,NA,NA,NA,"","on quaking aspen","","","","",NA,NA,NA,"","",NA,"","","634251.1970","","good","","","","Candelariaceae","Candelariales","Candelariomycetes","foliose","chlorococcoid"
"59","Chrysothrix candelaris",NA,"","","","",682900,"","","","","","Wetmore, C.","14372","",1966,NA,NA,NA,"","on douglasfir","","","","",NA,NA,NA,"","",NA,"","","682900.1966","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"60","Chrysothrix candelaris",NA,"","","","",772093,"","","","","","Wetmore, C.","48371","",1983,NA,NA,NA,"","on balsam fir log","","","","",NA,NA,NA,"","",NA,"","","772093.1983","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"61","Chrysothrix candelaris",NA,"","","","",869319,"","","","","","Nash, T.","41023","",1994,NA,NA,NA,"","pseudotsuga menziesii","","","","",NA,NA,NA,"","",NA,"","","869319.1994","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"62","Chrysothrix candelaris",NA,"","","","",862472,"","","","","","Egan, R.","9336","",1976,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","862472.1976","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"63","Chrysothrix candelaris",NA,"","","","",625167,"","","","","","Wetmore, C.","1442","",1958,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","625167.1958","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"64","Chrysothrix candelaris",NA,"","","","",793323,"","","","","","Wetmore, C.","41664","",1980,NA,NA,NA,"","on black spruce","","","","",NA,NA,NA,"","",NA,"","","793323.1980","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"65","Chrysothrix candelaris",NA,"","","","",903226,"","","","","","Worthington, R.","31190","",2002,NA,NA,NA,"","on bark of white fir","","","","",NA,NA,NA,"","",NA,"","","903226.2002","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"66","Chrysothrix candelaris",NA,"","","","",916229,"","","","","","Wetmore, C.","98139","",2009,NA,NA,NA,"","on balsam fir","","","","",NA,NA,NA,"","",NA,"","","916229.2009","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"67","Chrysothrix candelaris",NA,"","","","",802646,"","","","","","Wetmore, C.","62685","",1988,NA,NA,NA,"","on basswood","","","","",NA,NA,NA,"","",NA,"","","802646.1988","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"68","Chrysothrix candelaris",NA,"","","","",862538,"","","","","","Egan, R.","4097","",1973,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","862538.1973","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"69","Chrysothrix candelaris",NA,"","","","",779989,"","","","","","Wetmore, C.","17646","",1967,NA,NA,NA,"","on base of pine","","","","",NA,NA,NA,"","",NA,"","","779989.1967","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"70","Chrysothrix candelaris",NA,"","","","",873667,"","","","","","Wetmore, C.","86602","",2001,NA,NA,NA,"","on black cherry","","","","",NA,NA,NA,"","",NA,"","","873667.2001","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"71","Chrysothrix candelaris",NA,"","","","",744089,"","","","","","Sipe, F.","s.n.","",1938,NA,NA,NA,"","on trees","","","","",NA,NA,NA,"","",NA,"","","744089.1938","","","","","","Chrysotrichaceae","Arthoniales","Arthoniomycetes","crustose","chlorococcoid"
"72","Dimelaena oreina",NA,"","","","",869634,"","","","","","Wheeler, G.","19625","",1999,NA,NA,NA,"","","","","","",NA,NA,NA,"","",NA,"","","869634.1999","","","","","","Caliciaceae","Teloschistales","Lecanoromycetes","crustose","chlorococcoid"
